prompt,prompt_length,token_rarity,num_objects,abstractness,attribute_density,spatial_relations,action_verbs,named_entities
a pair of orange and yellow whistles,7,1,1,3,2,0,0,0
a green and yellow combine harvesting a field,8,1,2,3,2,0,1,0
a silver chain bracelet with a gold clasp,8,2,1,3,1,1,0,0
a siamese cat with blue eyes,6,1,1,2,2,1,0,0
two crutches are on a table,6,1,2,2,0,1,0,0
a crab on the ground with a small black shell,10,1,2,4,2,2,0,0
a green folding basket with handles,6,2,1,2,2,1,1,0
a woman holding a pair of scissors,7,1,2,3,0,0,1,0
a white crib with a ruffled skirt,7,3,1,3,2,1,0,0
a wooden toothbrush with a chinese writing on it,9,1,2,3,2,2,0,0
a native american style pin with a turquoise and white design,11,1,1,4,4,1,0,0
a spider on a tree trunk in the forest,9,0,2,3,0,2,0,0
a collection of mortar and pestles,6,2,1,3,0,0,0,0
a black weight plate with a red handle,8,0,1,3,2,1,0,0
a crab in the mud with its legs spread out,10,1,3,4,0,3,1,0
a green abacus with a few green beads on it,10,2,2,4,3,2,0,0
a bed with a mosquito net over it,8,1,2,4,1,2,0,0
a red tractor with a large front end,8,1,1,3,3,1,0,0
a woman wearing a black veil,6,1,1,2,1,0,1,0
a silver sports car parked on a gravel road,9,2,1,2,2,1,1,0
a fan for a car that is sitting on a white background,12,0,3,6,1,1,1,0
a printer sitting on top of a table,8,1,2,3,0,2,1,0
a shell with a large shell on it,8,0,2,3,1,2,0,0
a church with a steeple and a graveyard in front of it,12,2,3,6,0,3,0,0
a 3d rendering of a sand timer,7,2,1,4,0,0,0,0
a wicker basket with a small square shape on top,10,1,2,3,2,2,0,0
a black dog sitting on the ground next to a stick,11,0,2,4,1,3,1,0
a man in camouflage gear is aiming a bow,9,2,3,3,0,1,1,0
corn in a field,4,0,1,1,0,1,0,0
two metal hand levers with a metal handle,8,1,1,2,0,1,0,0
two black and white monkeys in a zoo,8,1,1,2,2,1,0,0
a white printer sitting on top of a wooden table,10,1,2,3,2,2,1,0
an abacus with red buttons on it,7,2,2,2,1,2,0,0
a bow and arrows are tied to a tree in the woods,12,1,2,6,0,2,1,0
a white t - shirt with a tag on it,9,1,2,3,1,2,0,0
a large stone building,4,0,0,1,1,0,0,0
a snake is curled up in a rock,8,1,1,3,0,2,1,0
a large container ship is docked at the canal,9,1,1,4,1,1,1,0
three black dogs sitting on the grass near a body of water,12,0,3,3,1,2,1,0
a crab with its head sticking out of the ground,10,1,2,5,0,2,1,0
a computer monitor and keyboard on a desk,8,0,1,3,0,1,0,0
a military vehicle with two men on it,8,0,2,2,1,2,0,0
a red abacus with wooden sticks and red beads,9,2,1,3,3,1,0,0
a man holding a fish,5,0,1,2,0,0,1,0
a black puppy sitting in the grass,7,0,1,2,1,1,1,0
a woman wearing a black veil standing in the sun,10,1,2,3,1,1,2,0
a gold and black safe with a key and two keys,11,0,1,5,3,1,0,0
a metal railing with a metal handrail,7,2,1,3,0,1,1,0
a pair of wooden slippers with floral designs,8,2,2,3,2,1,0,0
a person holding a drum stick with a wooden stick,10,0,2,4,1,1,1,0
a man in a wheelchair is helping another man in a wheelchair,12,2,4,4,0,2,1,0
a man in yellow shirt is aiming at a bow,10,1,3,4,1,2,1,0
a chainsaw and a bottle of oil sitting on the floor,11,1,2,5,0,1,1,0
a rabbit running across a dirt field,7,0,1,2,0,1,1,0
"a living room with a fireplace, a television, and a bookcase",11,4,1,6,0,1,0,0
a sting ray in an aquarium,6,2,1,2,1,1,0,0
a close up of a keyboard and mouse,8,0,1,4,0,1,1,0
a small white and pink axolotl in a black bowl,10,1,1,3,4,1,0,0
an army green bag sitting on the floor,8,0,1,2,1,1,1,0
a public phone booth in a grassy area,8,1,1,2,2,1,0,0
a young man kneeling down holding a fish,8,1,1,2,1,1,2,0
a sword with a leather strap around it,8,1,2,4,0,2,0,0
a fox sleeping on a log in a zoo,9,0,2,3,0,2,1,0
"a wolf is laying in the grass with the words ""trust"" written on it",14,2,4,6,0,3,2,1
a sleeping bag on the floor with a tent and other camping gear,13,0,2,6,3,2,1,0
a car radiator with wires and a fan,8,2,1,4,0,1,0,0
a manta ray swimming in the ocean,7,1,1,2,1,1,0,0
a mountain gorilla in the wild,6,1,1,3,1,1,0,0
four ferrets are standing on a mat,7,2,2,2,0,1,1,0
a black dog standing in front of a chain link fence,11,0,2,3,1,2,1,0
a gorilla is sitting in a zoo enclosure,8,2,2,3,0,1,1,0
a black dog standing in the grass,7,0,1,2,1,1,1,0
a woman is standing next to a cart with two oxen,11,2,3,5,0,3,1,1
a white dog statue with red collar and red leash next to a coke can,15,1,3,5,3,3,0,0
action ball - 6 pack,4,1,0,0,0,0,0,0
a clear mouse on a white surface,7,0,1,2,2,1,0,0
a person is holding a stalk of corn,8,1,3,4,0,0,1,0
a catamaran sailing in the ocean near a cliff,9,2,2,3,0,2,0,0
a silver gun belt buckle with a gun on it,10,1,3,3,1,2,1,0
a bow and arrow with a bow and arrow,9,0,1,5,0,1,0,0
a knife and a leather pouch on a red surface,10,1,1,4,1,1,0,0
a digital safe box with keys and a clock,9,0,1,4,2,1,0,0
a white canopy bed,4,1,0,1,1,0,0,0
a green abacus with white buttons in it,8,2,2,2,2,2,0,0
a kitchen cabinet with clothes and other items,8,0,1,4,1,1,0,0
a pair of white plastic scissors on a white surface,10,1,2,3,2,1,0,0
four wooden maracas with designs on them,7,1,2,1,1,2,0,0
a flute laying on a bed with a patterned cloth,10,2,2,4,1,2,1,0
a man with a bandage on his hand,8,1,2,3,0,2,0,0
a pile of wooden sticks sitting on a table,9,0,2,3,1,1,1,0
a room with a sink and cabinets,7,1,1,4,0,1,0,0
a black dress with a white collar and a white mannequin,11,1,1,5,3,1,0,0
a pan with a handle on the bottom,8,0,2,4,0,2,0,0
a spider on a white container with a penny,9,0,2,4,1,2,0,0
a dog laying on the ground,6,0,1,2,0,1,1,0
a tree with fruit hanging from it,7,0,2,3,0,2,1,0
three ears of corn on a cutting board,8,0,2,2,1,1,0,0
man wearing black shirt,4,0,1,0,1,0,1,0
an abacus with wooden balls in a wooden box,9,1,2,3,2,2,0,0
a black puppy is being held by a person,9,0,1,5,1,1,1,0
two revolvers sitting on top of a stump,8,2,2,2,0,2,1,0
a snake is hanging from a pole in a room,10,0,3,5,0,2,1,0
a large white printer with a blue and white background,10,1,1,4,4,1,0,0
a plant with green leaves,5,0,1,2,1,1,0,0
the puppies are laying on the blanket,7,1,2,3,0,1,1,0
a sailboat is sailing in the water,7,2,2,3,0,1,1,0
a large shark is mounted on the wall,8,0,1,3,1,1,1,0
a soldier with a rifle standing in the dirt,9,0,2,4,0,2,1,0
a small metal object with a ruler on top of it,11,1,3,4,1,3,0,0
a great white shark swimming in the ocean,8,0,1,3,2,1,0,0
a large bucket filled with crabs sitting on top of a counter,12,1,3,4,1,3,2,0
two orangutans hanging from a wire in the jungle,9,1,3,3,0,2,1,0
a silver revolver with a white handle,7,1,1,3,2,1,0,0
a gas mask with two cans of paint,8,1,2,3,0,1,0,0
three ferrets sleeping in a blue box,7,1,1,1,1,1,1,0
a bottle of lanolin oil on a table,8,1,2,3,0,1,0,1
a siamese cat sitting on a rug in the yard,10,2,2,3,1,2,1,0
a person holding a revolver on a blue carpet,9,1,2,3,1,1,1,0
a squirrel sitting in the snow near a tree,9,1,2,3,0,2,1,0
a shaggy dog laying on the floor,7,1,1,2,1,1,1,0
a man petting a small white and black puppy,9,1,1,3,3,0,1,0
a cheetah is walking through tall grass,7,1,2,2,1,1,1,0
a black fur coat with buttons on the collar,9,1,2,3,1,2,0,0
yellow and white striped fence,5,1,0,1,3,0,0,0
stainless steel screw with different sizes and shapes,8,2,1,3,2,1,0,1
a clock with blue numbers on it in the middle of a snowy forest,14,1,4,5,2,3,0,0
otter on rock,3,1,1,0,0,1,0,0
a small brown butterfly on a green leaf,8,1,1,2,3,1,0,0
a living room with a table and chairs,8,0,1,4,0,1,0,0
a man in a white robe standing in front of a computer,12,1,3,4,1,3,1,0
a pair of earrings with black and white stones,9,1,2,4,2,1,0,0
a view of a village in the mountains,8,0,2,4,0,1,0,0
a printer sitting on top of a table,8,1,2,3,0,2,1,0
a cat walking in the dark on a field,9,0,2,3,0,2,1,0
"a leather holster with a knife, scissors and a knife",10,3,1,5,1,1,0,0
a spotted ray in a container,6,0,1,2,1,1,1,0
a mouse and keyboard on a desk,7,0,1,3,0,1,0,0
a black and red butterfly with white spots on its wings,11,1,2,4,3,2,0,0
sharp cg-7000 multifunction printer,4,3,0,0,1,0,0,0
a hand holding a mushroom in the grass,8,1,2,3,0,1,1,0
a small dog sitting on a blue blanket,8,0,1,2,2,1,1,0
two silver and turquoise earrings with designs on them,9,2,2,2,1,2,1,0
a black dog laying on the grass with its mouth open,11,0,3,4,2,2,1,0
a bell tower with a cross on top,8,0,2,3,0,2,0,0
a group of rocks sitting on a stone floor,9,0,2,3,0,1,1,0
a window with a wooden frame and a window seat,10,0,1,5,1,1,0,0
two black and yellow spotted salamanders swimming in a tank,10,1,1,2,3,1,1,0
a soccer ball with the mexico flag on it,9,0,2,3,0,2,0,0
the sea urchin is red,5,1,1,2,1,0,0,0
a bunch of broccoli in a bag,7,1,2,3,0,1,0,0
a wooden abacus with wooden beads and wooden sticks,9,2,1,3,3,1,0,0
a green case with two small speakers in it,9,0,2,2,2,2,0,0
two different types of electronic devices sitting on a counter,10,0,2,3,2,1,1,0
two toy airplanes are shown next to a ruler,9,2,1,3,0,2,1,0
two black monkeys sitting on the ground near some bushes,10,2,2,2,1,2,1,0
stainless steel screw with different sizes and shapes,8,2,1,3,2,1,0,1
plastic toy bow and arrow set with plastic sticks,9,0,1,2,1,1,1,0
a woman in black wearing a hijab,7,1,2,2,1,1,1,0
a vegetable garden with broccoli growing in it,8,2,2,2,1,2,1,0
a woman standing next to three dogs in a field,10,0,2,3,0,3,1,0
a white snake laying on the ground,7,0,1,2,1,1,1,0
a small car and a golf ball in a dark room,11,0,1,4,2,1,0,0
a plate of food with vegetables and meat on it,10,0,3,4,0,2,0,0
a red and pink flower growing in a pot,9,0,1,3,2,1,1,0
a dog with long hair standing in the grass,9,0,2,3,1,2,1,0
a black and white monkey sitting on a bench,9,0,1,3,2,1,1,0
a large castle with a tower and a path leading to it,12,0,2,6,1,2,1,0
a black puppy is standing in the grass near a flower,11,0,3,4,1,2,1,0
a wooden stick with the words bagueta personalizada,8,2,3,3,1,1,1,0
a vending machine and a bag of chips next to each other,12,1,2,7,2,2,1,0
a large container ship in the ocean,7,0,1,2,1,1,0,0
an orange and black fish is sitting on a coral reef,11,2,2,4,3,1,1,0
a brass fan with a gold blade sitting on top of a table,13,0,3,5,0,3,1,0
a glass jar with a brass base and a glass top,11,1,1,5,0,1,0,0
a cart with a wheel,5,1,1,3,0,1,0,0
a joystick with an orange ball on top of a keyboard,11,1,3,5,0,3,0,0
a person holding a snake with stripes on it,9,1,3,3,0,2,1,0
a man is playing with a black dog in a field,11,0,3,5,1,2,1,0
a sleeping bag with a sleeping bag and a sleeping bag,11,0,1,5,3,1,3,0
a wooden barrel with black straps on it,8,1,2,2,2,2,0,0
a meerkat sitting in the grass,6,1,1,2,0,1,1,0
"tennis balls,tennis balls,tennis balls,tennis balls,tennis balls,",10,5,0,0,0,0,0,0
two dumbbells with black handles on a white surface,9,2,2,2,2,2,0,0
"an actual unit shown with the words ""actual unit shown""",10,2,2,5,2,1,2,0
a silver convertible car parked in a parking lot,9,2,1,2,2,1,1,0
a native american style belt buckle with turquoise and orange stones,11,2,2,3,4,1,1,0
a black vest with a gun and holster on it,10,2,2,4,2,2,0,0
a single white daisy in the grass,7,1,1,2,2,1,0,0
a wooden wall clock with three different clocks on it,10,1,2,3,2,2,0,0
a sleeping bag on the floor with a blue and black cover,12,0,2,5,3,2,1,0
a silver metal cylinder with an orange cord,8,2,1,3,1,1,0,1
a wicker basket with a lid on top,8,2,2,3,0,2,0,0
a man in white clothes holding a bow and arrow,10,0,2,3,1,1,1,0
a small animal walking through the tall grass,8,0,2,2,2,1,1,0
a display of sun lotion products on a beach,9,1,2,3,0,1,0,0
a black snake with a long tail on the sand,10,0,2,4,2,2,0,0
a black snake on a newspaper,6,0,1,2,1,1,0,0
a cat is looking at a fan on the ground,10,0,3,5,0,2,1,0
a small metal tool with a black handle,8,0,1,3,2,1,0,0
a revolver sitting on a red cloth bag,8,1,1,2,1,1,1,0
a group of colorful plastic toys on a white surface,10,1,2,3,2,1,0,0
a pile of golf balls with the name macella menagerie on them,12,2,4,4,0,2,1,1
a plane on a table with a wood block on top,11,0,3,4,0,3,0,0
an elephant with tusks,4,1,1,2,0,1,0,0
a wolf standing in the snow with its eyes closed,10,0,3,4,0,2,2,0
a wooden cabinet with a vase on top,8,1,2,3,1,2,0,0
a bottle opener with a spiral on it,8,2,3,3,0,2,0,0
two baby turtles are sitting on a plate,8,1,2,2,0,1,1,0
a revolver on display at the gun show,8,1,2,3,0,2,0,0
a small black and white puppy sitting on a chair,10,0,1,3,3,1,1,0
a large white antenna,4,1,0,1,2,0,0,0
a gold keychain with a heart shaped charm on it,10,1,4,3,0,2,1,0
a shaggy dog standing in the grass,7,1,1,2,1,1,1,0
three mushrooms are sitting on the ground in the woods,10,1,3,3,0,2,1,0
a person holding a bunch of ferrets,7,1,2,3,0,0,1,0
a large metal plate with a hole in it,9,0,2,3,1,2,0,0
a single white daisy is growing in the grass,9,1,2,3,2,1,1,0
a black and white dog standing on a sidewalk,9,1,1,3,2,1,1,0
an old style computer with a keyboard and mouse,9,0,1,4,1,1,1,0
a small monkey sitting on a person's lap,9,0,1,2,1,1,1,0
a tortoise eating from a bowl on the ground,9,1,2,4,0,2,1,0
a small black and brown fish in an aquarium,9,1,1,3,3,1,0,0
a tick with brown spots on its back,8,1,2,3,1,2,0,0
a grey dog with a black collar standing in the grass,11,0,2,4,2,2,1,0
a white plate with a red rim,7,1,1,3,2,1,0,0
a sting ray swimming in the ocean,7,1,1,2,1,1,0,0
a man standing in front of a drum set with a large drum in the background,16,0,4,6,1,4,1,0
a black classic car with a top down,8,0,1,4,2,2,0,0
the white plastic enclosure for the electronic device,8,1,1,3,1,0,0,0
a fly in a sand box,6,0,1,2,0,1,0,0
a book with the words barth on it,8,1,2,3,0,2,1,0
a woman wearing a white lab coat,7,0,1,2,1,0,1,0
a red panda is walking through the grass,8,1,2,3,1,1,1,0
a small stone church,4,0,0,1,1,0,0,0
a cat laying on a wooden deck,7,0,1,2,1,1,1,0
a close up of a ferret looking at the camera,10,1,2,5,0,2,1,0
a small black and gray puppy sitting on a stone patio,11,1,1,3,3,1,1,0
a yellow and black fish with black stripes,8,1,1,3,3,1,0,0
a white axolotl with green leaves on its head,9,1,2,3,2,2,0,0
a black ant on a leaf,6,1,1,2,1,1,0,0
a person holding a knife and tongs,7,1,1,3,0,0,1,0
a blue and white striped mortar and pestle,8,3,0,3,3,0,1,0
a gorilla is eating a leaf in its enclosure,9,2,3,4,0,1,1,0
a chrome and glass barometer on a table,8,2,1,3,0,1,0,0
two sticks of yellow cheese in plastic wrap,8,0,2,1,2,1,0,0
a white daisy with a blue center in the center,10,1,2,4,2,2,0,0
a bobcat kitten standing on top of a rock,9,2,2,3,1,2,1,0
a wooden abacus with red and black buttons,8,2,1,3,3,1,0,0
a knife on a brown surface,6,0,1,2,1,1,0,0
a shaggy dog standing in the grass,7,1,1,2,1,1,1,0
a monkey is in a cage with a wire,9,0,3,5,0,2,0,0
two pictures of a man in a helmet and a helmet with a microphone,14,1,3,7,0,2,0,0
a black shirt with pink splatter on it,8,1,2,2,2,2,0,0
a white airplane flying over a bridge,7,1,1,3,1,1,1,0
an antenna sits in the middle of a field,9,1,3,4,0,1,1,0
an hourglass with a red background and a clock,9,1,1,5,1,1,0,0
"two sweaters for girls, one purple and one gray",9,2,1,2,0,0,0,0
two people are sailing on a sailboat in the ocean,10,2,3,3,0,2,1,0
an illustration of a man with a bow and arrow,10,1,2,6,0,1,0,0
a white laundry basket with a towel on top,9,1,2,3,1,2,0,0
a lizard is sitting on the ground in the dirt,10,1,3,4,0,2,1,0
a turtle is sitting on the ground in the grass,10,1,3,4,0,2,1,0
a bottle cap with a crown on it,8,0,2,3,0,2,0,0
a woman in a bikini playing volleyball on the beach,10,2,2,3,1,2,0,0
a monkey with a long black and white beard,9,0,1,4,3,1,0,0
a great white shark with its mouth open,8,0,2,4,3,1,0,0
short blonde wig with earrings and a black top,9,2,1,3,3,1,0,0
a woman wearing scuba gear and holding a mask,9,1,2,3,1,0,2,0
a printer with a paper tray on top of it,10,2,3,4,0,3,0,0
an elephant standing in a dirt area,7,0,1,2,0,1,1,0
a fly on a person's hand,7,0,1,2,0,1,0,0
a woman doing a balance beam routine in front of a crowd,12,0,3,4,0,2,1,0
a fox is standing in the grass with the words moments with lions'wildlife vipers,14,2,4,6,1,3,1,0
a black butterfly with orange markings on its wings,9,2,2,3,2,2,0,0
a monkey with a long face and a long neck,10,0,1,5,2,1,0,0
a decorative fireplace screen with a peacock design,8,3,1,3,1,1,0,0
a grey and white dog standing on top of a green field,12,0,2,4,3,2,1,0
a sea anemone with orange spikes on it,8,2,2,2,1,2,0,0
a large rocket is launching into the air,8,1,2,4,1,0,1,0
a person stirring up a pan with vegetables,8,1,2,3,0,2,1,0
a black beetle on the floor next to a white wall,11,1,2,4,2,3,0,0
a painting of a chimpanzee laying down,7,1,1,3,0,1,1,0
a man holding a large pike fish in the water,10,1,2,3,2,1,1,0
a meerkat sitting on a rock,6,1,1,2,0,1,1,0
a marlin fish is hooked on a line,8,2,1,3,0,1,1,0
golf ball mockup,3,1,0,0,0,0,0,0
a dog standing in the grass near a fence,9,0,2,3,0,2,1,0
a small lizard with a long tail swimming in a tank,11,1,2,4,2,2,0,0
harkike hk-1x1x1x1x1x1x1x,2,2,0,0,0,0,0,0
a spider is sitting on the sand in the middle of the sand,13,0,4,6,0,2,1,0
a brown poodle standing in the grass,7,1,1,2,1,1,1,0
a woman on a balance beam in front of a crowd,11,0,3,4,0,3,0,0
a dog standing in the grass near bushes,8,1,2,2,0,2,1,0
a brown bug on a sandy surface,7,0,1,2,2,1,0,0
a close up of a chain link fence,8,0,1,3,0,1,0,0
two dogs standing next to each other,7,0,1,3,1,2,1,0
a combine harvester is working in a field of wheat,10,1,3,4,0,1,1,0
three different colored baby bottles with a baby bottle,9,0,1,3,2,1,0,0
a screw with a metal nut and screw head,9,0,1,4,0,1,0,1
a white teapot on a table,6,1,1,2,1,1,0,0
a small coffee machine with a white background,8,0,1,3,2,1,0,0
conch shell isolated on white background,6,1,1,0,1,1,1,0
a leather necklace with a wooden pendant on it,9,2,2,3,1,2,0,0
a close up of an iron on a table,9,0,2,4,0,2,0,0
a dog sleeping next to a toy,7,0,1,3,0,2,1,0
walnut nut grater - vintage,4,3,0,0,0,0,0,0
a dog standing on a kitchen floor,7,0,1,2,0,1,1,0
a clock with a wooden base and a silver face,10,0,1,5,2,1,0,0
a woman is jumping off a cliff into a river,10,0,3,5,0,1,1,0
a toilet paper roll is mounted on the wall,9,0,1,3,0,1,1,0
a spider with its legs spread out on the ground,10,0,3,4,0,3,1,0
a weasel is standing on the ground in the grass,10,1,3,4,0,2,1,0
the helmet is black and has a clear visor,9,1,2,4,2,0,1,0
a printer with a scanner and a scanner,8,3,1,5,0,1,0,0
the printer is white,4,1,1,2,1,0,0,0
a printer with a white and blue cover,8,1,1,4,2,1,0,0
a printer with paper on top of it,8,1,3,3,0,3,0,0
a large entertainment center with a television and bookshelves,9,1,1,4,1,1,0,0
a necklace with a bird on it,7,1,2,3,0,2,0,0
a box with a pen and a cell phone,9,0,1,5,0,1,0,0
a brown and white dog standing on dirt,8,0,1,2,2,1,1,0
a staircase with metal railings and a vase,8,3,1,4,0,1,0,0
a white printer with a sticker on it,8,2,2,3,1,2,0,0
a printer sitting on top of a desk with papers on top,12,1,4,4,0,4,1,0
a flower painted bucket sitting on a brick walkway,9,1,3,2,0,1,2,0
a dog sitting on the grass,6,0,1,2,0,1,1,0
a cell phone sitting on a table,7,0,1,2,0,1,1,0
a printer on a desk,5,1,1,2,0,1,0,0
epson tm-t60 receipt printer,5,6,0,0,2,0,0,1
two toy drums sitting on top of a couch,9,1,2,2,0,2,1,0
a cat is laying on a bed,7,0,2,3,0,1,1,0
a helmet with a reflection of a car in the mirror,11,0,3,6,0,2,0,0
a black upright piano sitting in front of a red wall,11,1,2,3,3,2,1,0
a dog with her puppies in a pen,8,1,2,3,0,2,0,0
a white cat with blue eyes is being held by someone,11,0,2,5,2,2,1,0
a black motorcycle helmet sitting on a bed,8,0,1,2,1,1,1,0
a black dog standing by a pool,7,0,1,3,1,1,1,0
a boat in the water,5,0,1,2,0,1,0,0
canon printer driver for windows 7,6,1,1,1,0,0,0,0
a man petting a dog,5,1,1,2,0,0,1,0
a large white printer sitting on top of a table,10,1,2,3,2,2,1,0
a printer sitting on top of a table with plastic wrap,11,1,3,4,1,3,1,0
a small white and black dog standing on a wooden bench,11,0,1,3,4,1,1,0
the table is made of marble,6,1,1,3,0,0,1,0
a printer with a scanner on top of it,9,2,3,4,0,3,0,0
a siamese cat sitting on a blue and white bed,10,1,1,3,3,1,1,0
a white and black printer,5,1,0,2,2,0,0,0
a large printer with paper on top of it,9,1,3,3,1,3,0,0
a spider with yellow and black stripes on its back,10,1,2,4,2,2,0,0
a set of four different colored plastic sticks with a ball,11,0,2,5,2,1,0,0
a small white dog is standing on a table,9,0,2,3,2,1,1,0
a large white dish with a small light on top,10,0,2,3,3,2,0,0
a man standing in front of a meat market,9,0,2,3,0,2,1,0
a large group of wooden barrels stacked together,8,2,1,2,2,0,1,0
lioness and cubs in the grass,6,2,1,2,0,1,0,1
a red telephone booth with a phone on top,9,0,2,3,1,2,0,0
three peppers are shown next to a ruler,8,2,1,3,0,2,1,0
a brown hare sitting in the grass,7,1,1,2,1,1,1,0
a scorpion with its legs spread out on the ground,10,1,3,4,0,3,1,0
a sailboat with the word oracle on it,8,2,2,3,0,2,0,0
a spider with yellow and black stripes,7,1,1,3,2,1,0,0
a baboon walking across a dry field,7,1,1,2,1,1,1,0
a monkey sitting on top of a red car,9,0,2,3,1,2,1,0
a sailboat with a large sail is sailing in the ocean,11,2,3,5,1,2,1,0
a large white dog standing in a field,8,0,1,2,2,1,1,0
a sailboat with a large wing on it,8,1,2,3,1,2,0,0
a man standing in front of a butcher shop with meat hanging on the wall,15,1,4,5,0,4,2,0
a monkey sitting on a branch with a leafy background,10,1,2,4,1,2,1,0
a yellow and black fish in an aquarium,8,1,1,3,2,1,0,0
a sting ray with a white body and brown spots,10,1,1,4,3,1,0,0
two metal whistle with a cord,6,2,1,2,0,1,0,0
a beetle on a wooden surface,6,1,1,2,1,1,0,0
"olive baboon, kenya & nick lowton",5,4,0,0,0,0,0,2
a knitted mitt with a colorful pattern,7,3,1,3,2,1,1,0
a black dog with a brush on top of a table,11,0,3,5,1,3,0,0
a breathing mask and an oxygen hose,7,1,0,3,0,0,0,0
a sailboat with a white sail and a sailboat in the water,12,2,2,6,1,2,0,0
two hyenas eating on a dead animal in the wild,10,1,2,3,2,2,1,0
a white weasel peeking out from under the snow,9,2,2,3,1,3,1,0
a silver and black leather belt with a metal buckle and two orange beads,14,2,1,5,3,1,0,0
a white projector with the word vedo on it,9,2,2,3,1,2,0,0
a display of fur coats and other accessories,8,2,1,4,1,0,0,0
a view of a chinese temple on top of a hill,11,0,3,5,1,2,0,0
a monkey sitting in a tree with leaves on it,10,0,3,3,0,3,1,0
a laptop computer with a yellow keyboard and a screen,10,0,1,5,1,1,0,0
two women playing volleyball,4,1,1,0,0,0,1,0
a hyena is standing in tall grass,7,1,2,2,1,1,1,0
a close up of an orange fox laying down,9,0,1,3,1,2,1,0
a yellowfin tuna swimming in the ocean,7,2,1,2,1,1,0,0
a white persian cat sitting on a white background,9,1,1,2,3,1,1,0
a volleyball game with two women in bikinis playing volleyball,10,3,3,2,0,2,1,0
a shell with a green and yellow pattern,8,0,1,4,2,1,0,0
a belgian malinois standing in the grass,7,2,1,2,1,1,1,0
several insects are sitting on a white surface,8,0,2,2,2,1,1,0
a spider with yellow and black stripes on its back,10,1,2,4,2,2,0,0
the misfits t - shirt with the skull on it,9,2,2,3,0,2,0,0
a digital safe box with electronic keypad,7,1,1,2,3,1,0,0
a brown teapot with a lid on a white surface,10,2,2,4,2,2,0,0
a baby girl sitting in a bucket with a bucket,10,0,2,4,0,2,1,0
an elephant with tusks standing in the grass,8,1,2,3,0,2,1,0
a bowl of mashed potatoes sitting on a table,9,1,2,3,1,1,1,0
a mannequin wearing a blue cardigan sweater,7,3,1,2,1,0,1,0
three women standing next to two dogs in a park,10,0,2,2,0,3,1,0
a woman holding two crabs in a container,8,1,2,2,0,1,1,0
a pay phone in a brick building,7,0,1,2,0,1,0,0
two jaguars laying down in the grass,7,1,1,1,0,2,1,0
a digital scale with a digital display,7,0,1,3,2,1,0,0
a meerkat sitting on a log,6,1,1,2,0,1,1,0
a camera with the word pentax on it,8,1,3,3,0,2,1,0
a modern entertainment center with a flat screen television,9,0,1,4,2,1,0,0
a sailboat with a flag on it,7,1,2,3,0,2,0,0
a wooden box with a keyboard and a computer inside,10,0,1,5,1,2,0,0
a small blue butterfly is sitting on a branch,9,1,2,3,2,1,1,0
a lemur sitting on a tree branch with its baby,10,1,2,4,1,2,0,0
a sink with a towel on top of it,9,1,3,4,0,3,0,0
a black and yellow spider with a yellow stripe on its back,12,1,2,5,3,2,0,0
a corn plant with two ears growing in a field,10,0,2,3,0,2,1,0
a dog laying on a couch with a remote control,10,0,2,5,1,2,1,0
a stuffed animal of a snake and a snake,9,1,1,5,1,0,1,0
a tiger sitting in the snow next to an ice cave,11,0,2,4,0,3,1,0
a clear glass teapot with a handle,7,1,1,3,1,1,0,0
a spider with yellow and black stripes,7,1,1,3,2,1,0,0
a brown and gold mitten hanging on a wall,9,1,2,3,1,1,1,0
a stone hut with a thatched roof,7,2,1,3,1,1,1,0
a wooden barrel with a lid on it,8,1,2,3,1,2,0,0
a soccer whistle with a red plastic ball on it,10,1,2,3,1,2,0,0
three monkeys are hugging each other,6,2,2,3,1,0,1,0
a large red bucket on the beach with people sitting in chairs,12,0,3,3,2,3,1,0
a pair of knitting needles laying on a bed,9,2,2,3,0,1,1,0
parallel bars at the beach,5,0,1,2,1,1,0,0
two black bears standing next to each other,8,0,1,3,2,2,1,0
a wolf standing on a rock in the woods,9,0,2,3,0,2,1,0
a meerkat looking at the camera,6,1,1,3,0,1,1,0
a shark is eating grass in the ocean,8,0,3,3,0,1,1,0
a group of gorillas sitting on the ground,8,1,2,3,0,1,1,0
a chimpanzee painting with paint and brushes,7,2,1,3,0,1,0,0
a cat nursing a baby fox in a blanket,9,0,2,3,0,1,1,0
a glass bottle with liquid inside,6,0,1,2,0,2,0,0
a red fox running across a field in the middle of the day,13,0,3,5,1,2,1,0
a black and yellow spider with yellow stripes on its back,11,1,2,4,3,2,0,0
a speed boat with people riding on top of it,10,0,3,3,0,3,1,0
two black and white monkeys sitting on a log,9,1,1,2,2,1,1,0
a man wearing a gas mask and helmet,8,0,1,3,0,0,2,0
a radiator fan with two fans and wires,8,2,1,3,0,1,0,0
a computer mouse with a cord connected to it,9,1,2,4,0,2,1,0
a tea pot and a teapot,6,1,0,3,0,0,0,0
a small orange and black butterfly resting on a leaf,10,2,2,3,2,1,1,0
a small monkey sitting on a branch in the forest,10,0,2,3,1,2,1,0
jaguar and jaguar cubs in the amazon rainforest,8,4,1,2,1,1,0,1
a lake surrounded by trees and mountains,7,0,1,3,0,1,1,0
a large mushroom growing on a moss covered rock,9,2,1,2,2,1,2,0
a clock with different time zones and different colors,9,0,1,5,2,1,0,0
two men standing in front of a large satellite dish,10,0,2,2,1,2,1,0
